TRE,WECC,EIC
0,0,0
0,0,1.2717
0.0324,0.0007,4.3164
0.2292,0.2041,7.5077
0.5676,0.7462,9.9581
0.768,1.7333,11.292
0.834,2.6797,11.6309
0.7272,3.2953,10.6737
0.4476,3.3632,8.2534
0.2976,3.0403,5.6846
0.228,2.3875,2.8027
1.49E-01,1.5727,0.6891
0.0192,6.04E-01,0.0491
0,0.0709,0.0002
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.0011
0,0,0.671
0.036,0.0008,2.6619
0.1512,0.1912,6.1577
0.2772,1.3081,8.9011
0.4032,2.4942,10.2925
0.5292,3.3209,10.1106
0.5952,3.8062,9.6843
0.504,4.0069,8.6138
0.3432,3.8299,6.7602
0.2088,3.372,4.111
9.84E-02,2.611,1.3153
0.0096,1.5094,0.0649
0,0.4174,0.0002
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.0001
0,0,1.4027
0.0912,0.0019,5.1779
0.3816,0.2135,9.4769
0.5868,1.5747,12.7149
0.636,2.6884,14.8565
0.5508,3.4347,15.5114
0.4656,3.9488,14.6471
0.3672,4.1987,12.4152
0.2748,4.0198,9.2821
0.186,3.545,4.857
0.078,2.8511,1.1784
0.006,1.7846,0.0715
0,0.5156,0.0015
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.0004
0,0,1.5471
0.0036,0.0001,4.307
0.0516,0.4613,7.605
0.1416,1.9434,9.7928
0.2484,3.1506,10.8014
0.4128,4.0513,10.6281
0.6132,4.6394,9.708
0.5916,4.844,8.1785
0.5376,4.6223,5.6748
0.4536,4.1013,3.5141
2.69E-01,3.1407,1.5484
0.042,1.8441,0.1624
0,0.4904,0.0015
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.4323
0.2316,0.0049,3.1796
0.5172,0.2336,6.9661
0.756,1.0998,9.7733
0.912,2.1157,12.0207
0.9876,3.1647,13.0245
0.9876,3.8539,12.8066
0.954,4.1379,11.536
0.7776,4.2742,9.1475
0.3432,3.7262,5.6422
0.1668,2.7966,2.0824
0.024,1.6056,0.155
0,0.4321,0.0006
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.0026
0,0,1.8316
0.1284,0.0027,6.2187
0.3708,0.1662,10.7083
0.6096,1.1176,13.2451
0.8088,2.1185,14.4666
0.9108,3.1666,14.9203
0.9624,3.9386,14.4573
